,key,date_time_of_pickup,longitude_of_pickup,latitude_of_pickup,longitude_of_dropoff,latitude_of_dropoff,no_of_passenger,trip_distance,year,month,day,day_of_week,week_of_year,hour
0,08:24.0,2015-01-27 09:08:24,-73.97332001,40.76380539,-73.98143005,40.74383545,1,2.3218008357796442,2015,1,27,1,5,9
1,08:24.0,2015-01-27 09:08:24,-73.98686218,40.71938324,-73.99888611,40.73920059,1,2.423830156044685,2015,1,27,1,5,9
2,53:44.0,2011-10-08 07:53:44,-73.982524,40.75126,-73.979654,40.746139,1,0.618239468601362,2011,10,8,5,40,7
3,12:12.0,2012-12-01 17:12:12,-73.98116,40.767807,-73.990448,40.751635,1,1.9598012915692355,2012,12,1,5,48,17
4,12:12.0,2012-12-01 17:12:12,-73.966046,40.789775,-73.988565,40.744427,1,5.383918864082401,2012,12,1,5,48,17
5,12:12.0,2012-12-01 17:12:12,-73.960983,40.765547,-73.979177,40.740053,1,3.220525616845689,2012,12,1,5,48,17
6,10:20.0,2011-10-06 08:10:20,-73.949013,40.773204,-73.959622,40.770893,1,0.9290176638206308,2011,10,6,3,40,8
7,10:20.0,2011-10-06 08:10:20,-73.777282,40.646636,-73.985083,40.759368,1,21.526577820516295,2011,10,6,3,40,8
8,10:20.0,2011-10-06 08:10:20,-74.014099,40.709638,-73.995106,40.741365,1,3.8715294482760956,2011,10,6,3,40,8
9,22:20.0,2014-02-18 11:22:20,-73.969582,40.765519,-73.980686,40.770725,1,1.0991034098530221,2014,2,18,1,8,11
10,22:20.0,2014-02-18 11:22:20,-73.989374,40.741973,-73.9993,40.722534,1,2.316230015395869,2014,2,18,1,8,11
11,22:20.0,2014-02-18 11:22:20,-74.001614,40.740893,-73.956387,40.767437,1,4.816153003418691,2014,2,18,1,8,11
12,20:32.0,2010-03-29 16:20:32,-73.991198,40.739937,-73.997166,40.735269,1,0.7222159806070174,2010,3,29,0,13,16
13,20:32.0,2010-03-29 16:20:32,-73.982034,40.762723,-74.001867,40.761545,1,1.6744511798357582,2010,3,29,0,13,16
14,59:12.0,2011-10-05 23:59:12,-73.992455,40.728701,-73.983397,40.750149,1,2.5024601986296813,2011,10,5,2,40,23
15,59:12.0,2011-10-05 23:59:12,-73.983583,40.746993,-73.951178,40.785903,1,5.112163504353775,2011,10,5,2,40,23
16,45:04.0,2012-07-15 12:45:04,-74.006746,40.731721,-74.010204,40.732318,1,0.29865041618005894,2012,7,15,6,28,12
17,45:04.0,2012-07-15 12:45:04,-73.976446,40.785598,-73.95222,40.772121,1,2.529558293986769,2012,7,15,6,28,12
18,45:04.0,2012-07-15 12:45:04,-73.973548,40.763349,-73.972096,40.756417,1,0.779954468942745,2012,7,15,6,28,12
19,45:04.0,2012-07-15 12:45:04,-73.970918,40.756025,-73.975954,40.755563,1,0.4270136965346077,2012,7,15,6,28,12
20,09:56.0,2014-10-28 22:09:56,-73.926071,40.705866,-73.941741,40.714789,1,1.6509083378449774,2014,10,28,1,44,22
21,39:00.0,2014-06-14 09:39:00,-73.970555,40.764702,-73.949132,40.7718,1,1.9679741888081346,2014,6,14,5,24,9
22,39:00.0,2014-06-14 09:39:00,-73.989102,40.73636,-73.992767,40.747767,1,1.3046216398218202,2014,6,14,5,24,9
23,39:00.0,2014-06-14 09:39:00,-74.003525,40.74848,-73.99152,40.76296,1,1.9001007852652236,2014,6,14,5,24,9
24,39:00.0,2014-06-14 09:39:00,-73.990352,40.759992,-74.015665,40.711682,1,5.776091569958664,2014,6,14,5,24,9
25,39:00.0,2014-06-14 09:39:00,-73.989482,40.75745,-74.00085,40.762705,1,1.1209823482727677,2014,6,14,5,24,9
26,39:00.0,2014-06-14 09:39:00,-73.870785,40.773722,-73.741922,40.689945,1,14.297557342368155,2014,6,14,5,24,9
27,39:00.0,2014-06-14 09:39:00,-73.992682,40.733877,-73.938852,40.80822,1,9.421950855969916,2014,6,14,5,24,9
28,39:00.0,2014-06-14 09:39:00,-73.95402,40.778705,-73.950277,40.76881,1,1.1438100546156982,2014,6,14,5,24,9
29,39:00.0,2014-06-14 09:39:00,-73.972742,40.743432,-74.007125,40.710192,1,4.693422133054603,2014,6,14,5,24,9
30,39:00.0,2014-06-14 09:39:00,-73.953515,40.771137,-73.947295,40.796792,1,2.8985549501878864,2014,6,14,5,24,9
31,39:00.0,2014-06-14 09:39:00,-73.99959,40.73863,-74.00512,40.72886,1,1.1813388937574454,2014,6,14,5,24,9
32,39:00.0,2014-06-14 09:39:00,-73.958925,40.763727,-73.958138,40.773337,1,1.0699643948806474,2014,6,14,5,24,9
33,39:00.0,2014-06-14 09:39:00,-73.96996,40.793912,-73.963747,40.768497,1,2.8722239976507034,2014,6,14,5,24,9
34,39:00.0,2014-06-14 09:39:00,-73.955135,40.780062,-73.96334,40.762677,1,2.05160500393471,2014,6,14,5,24,9
